CUSTOMER_NUMBER,AGE,TENURE_DAYS,PRODUCT_COUNT,CA_BALANCE_MEAN,CA_BALANCE_TREND,CA_BALANCE_STD,TD_BALANCE_MEAN,LOAN_AMOUNT_MEAN,LOAN_TREND,NET_WORTH_PROXY,IF_SCORE,LOF_SCORE,RISK_SCORE,RISK_LEVEL,REASONS
726788,50.573579739904176,110,2,11578380.125,4717072.25,22871918.670884766,235100225.3375,0.0,0.0,246678605.4625,-0.020835656641608913,-1.7023867319932022,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 22,871,919 VND)"
966350,65.24298425735797,51,2,15080354.905,30028109.81,21233080.07286529,0.0,740625000.0,-318750000.0,-725544645.095,-0.018558324388605496,-3.2321770292669227,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 21,233,080 VND)"
699756,37.40999315537303,282,3,904679.105,854576.648,1429583.2808990064,0.0,940153860.8,331495662.38787884,-939249181.6949999,-0.10188590503357553,-1.5309737379727484,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (331,495,662/tháng), dư nợ hiện tại: 940,153,861 VND | Số lượng khoản vay bất thường: 4 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -939,249,182 VND"
873635,44.380561259411365,82,2,17565590.293333333,13011444.804999998,15215729.338427456,139247311.82666668,0.0,0.0,156812902.12,-0.02245807685882084,-1.7478599007647522,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 15,215,729 VND)"
467798,43.36208076659822,345,3,5627447.575,-1886019.016904762,5343519.090666899,0.0,102306246.91666667,11377851.506993007,-96678799.34166667,-0.061066802630075245,-1.9415020577824635,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -1,886,019/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 5,343,519 VND)"
513542,41.998631074606436,78,3,10960221.53,-16066205.645000001,18539468.549121115,91792114.69666667,995000000.0,-5000000.0,-892247663.7733333,-0.08398980969117287,-1.5734674548489802,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -16,066,206/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 18,539,469 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -892,247,664 VND"
161607,33.29226557152635,77,2,16494453.586666666,-24045803.015,27768460.741360568,0.0,1694788333.3333333,144267500.0,-1678293879.7466667,-0.04250006037686915,-2.306363384558796,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -24,045,803/tháng) | Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (144,267,500/tháng), dư nợ hiện tại: 1,694,788,333 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 27,768,461 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,678,293,880 VND"
837079,39.15947980835045,106,2,26679554.02352501,13772616.489410004,29876478.34183326,500000000.0,0.0,0.0,526679554.023525,-0.04061727772659063,-2.7069316427189105,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 29,876,478 VND)"
600599,30.272416153319643,354,3,37428749.16136668,-7783491.227197207,30155536.6806099,0.0,2374766833.3333335,26620846.153846156,-2337338084.171967,-0.12309235423271403,-2.2410187916696827,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -7,783,491/tháng) | Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (26,620,846/tháng), dư nợ hiện tại: 2,374,766,833 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 30,155,537 VND) | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,337,338,084 VND"
21449,37.229295003422315,219,1,0.0,0.0,0.0,0.0,41597044.0,1786917.3333333333,-41597044.0,-0.0024901130015608786,-1.4911822078649035,3,High Risk,Số lượng khoản vay bất thường: 3 khoản vay đồng thời
789242,47.24709103353867,223,4,10229794.935,2743248.2404761906,6760518.525037442,12696855.747499999,180554000.0,-5556000.0,-157627349.3175,-0.11402594789478637,-1.6922703152229928,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,760,519 VND)"
182060,46.77344284736482,296,3,4446436.82,165748.564,3877593.481005741,966666666.667,700000000.0,42857142.85714286,271113103.4870001,-0.08998406150995653,-2.005849570895748,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 3,877,593 VND) | Số lượng khoản vay bất thường: 7 khoản vay đồng thời"
119468,51.66598220396988,237,2,51815352.26153752,7817085.843113103,21666116.573863424,0.0,2828198499.999995,0.0,-2776383147.7384577,-0.02986095400604416,-1.6521102152645812,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 21,666,117 VND) | Số lượng khoản vay bất thường: 4 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,776,383,148 VND"
693164,42.888432580424364,113,3,3976307.8200000003,3817551.9960000003,6117249.117539353,512903510.6,1494999000.0,-3334000.0,-978119181.5799999,-0.0921878847138039,-1.4735491128121083,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,117,249 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -978,119,182 VND"
555751,67.54551676933607,135,2,9333961.055999998,-6317436.982999999,14170458.203093706,538113333.334,0.0,0.0,547447294.39,-0.048323391339011645,-1.9843457584508173,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -6,317,437/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 14,170,458 VND)"
339225,36.2984257357974,197,3,27580864.97201429,-8395593.27779286,21558707.99322635,542857142.8571428,1995000000.0,-35000000.0,-1424561992.170843,-0.12283246062707098,-1.7639395520962828,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -8,395,593/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 21,558,708 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,424,561,992 VND"
165832,32.2135523613963,348,2,6237273.623333334,1023125.5788111888,8017377.610265887,0.0,2266569166.666664,164228506.9930066,-2260331893.0433307,-0.03519930441142005,-1.4905491745468509,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (164,228,507/tháng), dư nợ hiện tại: 2,266,569,167 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 8,017,378 VND) | Số lượng khoản vay bất thường: 4 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,260,331,893 VND"
962477,30.80082135523614,281,3,4013698.329,-1216887.6778787877,6244141.012656501,0.0,146068698.0,7265029.139393941,-142054999.671,-0.039392378518878,-1.4987647389244805,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -1,216,888/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,244,141 VND)"
597069,22.146475017111566,356,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030479445271154315,-1.5070644849451593,3,High Risk,"Tài khoản ""ma"": Khách hàng tenure dài (356 ngày) nhưng gần như không sử dụng sản phẩm"
698756,39.885010266940455,277,3,6533627.437777777,-1592410.7275000003,5581467.461597013,0.0,1320819000.0,-44195454.54545455,-1314285372.5622222,-0.008688669301703977,-2.080492328551879,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -1,592,411/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 5,581,467 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,314,285,373 VND"
563365,46.09993155373032,99,4,36219471.1,30281.825000002977,35284.06890836755,50000000.0,1725208000.0,-10792000.0,-1638988528.9,-0.06052963111442855,-1.8133969767675864,3,High Risk,"Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,638,988,529 VND"
970933,49.74401095140315,348,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007135550588192374,-1.6437444620408708,3,High Risk,"Tài khoản ""ma"": Khách hàng tenure dài (348 ngày) nhưng gần như không sử dụng sản phẩm"
862125,57.960301163586585,96,3,30405325.25803335,-30967546.07205002,33163758.828483008,305182083.31333333,847000000.0,-3000000.0,-511412591.42863333,-0.11708310118452014,-1.7335799664963012,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -30,967,546/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 33,163,759 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -511,412,591 VND"
651669,36.89253935660506,357,5,8179180.0053416705,-96869.71812622373,19669128.896312132,55081810.03583334,1200547683.3333333,4602244.755244755,-1137286693.2921581,-0.15307411321642628,-1.9145749060698283,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (4,602,245/tháng), dư nợ hiện tại: 1,200,547,683 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 19,669,129 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,137,286,693 VND"
208797,33.998631074606436,142,3,4233215.961999999,2276802.5850000004,3614657.600120843,0.0,1321200000.0,100800000.0,-1316966784.038,-0.0396622131923674,-1.8631095874712327,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (100,800,000/tháng), dư nợ hiện tại: 1,321,200,000 VND | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,316,966,784 VND"
755900,76.99931553730322,356,1,9716509.253333332,-5312631.074285714,11437650.895264018,0.0,0.0,0.0,9716509.253333332,-0.020144119204348443,-1.6854904736133804,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -5,312,631/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,437,651 VND)"
13016,19.805612594113622,302,3,2680549.972,159796.66060606064,6017740.862343435,3225806.452,141248500.0,-18712454.545454547,-135342143.576,-0.042704739070783426,-1.4879137173193588,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,017,741 VND)"
126851,47.964407939767284,252,2,7216852.96,3808534.681142857,11434861.966611674,302559139.785,0.0,0.0,309775992.745,-0.004620559464906804,-1.4744141320139417,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,434,862 VND)"
930635,33.661875427789184,268,3,5855097.58,-149316.43600000013,8817267.353692988,0.0,947048000.0,32002333.333333332,-941192902.42,-0.047844448116944216,-1.8089685972925509,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (32,002,333/tháng), dư nợ hiện tại: 947,048,000 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 8,817,267 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -941,192,902 VND"
497852,49.32511978097194,71,3,534738.655,1033432.11,730746.8528769221,0.0,2785465666.6666636,64099249.999997616,-2784930928.0116634,-0.09274628350233827,-1.5250692020624168,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (64,099,250/tháng), dư nợ hiện tại: 2,785,465,667 VND | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,784,930,928 VND"
271675,28.681724845995895,237,3,54526.793333333335,31752.565000000002,32174.907833335492,0.0,895052126.0,-163338273.33333334,-894997599.2066667,-0.07968197108452069,-1.6499409170636734,3,High Risk,"Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -894,997,599 VND"
308680,45.700205338809035,208,3,2620600.4742857143,1048127.4342857144,4949941.756023797,414285714.28571427,2828198499.999995,0.0,-2411292185.239995,-0.1196668029146527,-1.778338080218481,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 4,949,942 VND) | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,411,292,185 VND"
612102,19.351129363449694,308,3,24310360.604009096,-2593419.2103309114,21075122.053456064,24165096.676363636,0.0,0.0,48475457.28037273,-0.07223807038116337,-2.183404780938541,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -2,593,419/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 21,075,122 VND)"
109867,23.16495550992471,281,3,5358376.728888889,-3004665.373833333,14992931.775675943,0.0,111504728.22222222,-988729.1166666667,-106146351.49333334,-0.05624803746360185,-2.3899906976467884,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -3,004,665/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 14,992,932 VND)"
86999,78.18754277891856,63,2,45552427.862733364,-34008529.39705002,39269667.20426027,64516129.03333333,0.0,0.0,110068556.8960667,-0.060492823669781814,-1.5255127179801566,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -34,008,529/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 39,269,667 VND)"
562937,45.91375770020534,173,4,8419538.495,-5159342.320285714,10979858.271989096,176344086.02166668,175000000.0,50000000.0,9763624.51666668,-0.09983023977807204,-1.5735764312549467,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -5,159,342/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 10,979,858 VND)"
214369,30.60369609856263,54,3,1457041.735,2886832.27,2041298.6742651542,5000000.0,1495102500.0,-9795000.0,-1488645458.265,-0.06775666559850102,-2.0286269115064544,3,High Risk,"Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,488,645,458 VND"
716134,62.997946611909654,158,3,5126139.42,9551633.68,6754024.946537818,0.0,397620000.0,-4760000.0,-392493860.58,-0.028648230207452552,-1.7646396718218558,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,754,025 VND)"
256276,55.937029431895965,135,2,35571189.75882001,-8163397.758820009,18253912.316090975,1000000000.0,0.0,0.0,1035571189.75882,-0.011564978303786111,-1.4912011028322634,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -8,163,398/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 18,253,912 VND)"
497794,48.145106091718,364,3,5493461.84,-2135836.313006993,11833176.529527182,0.0,2828198499.999995,0.0,-2822705038.159995,-0.023589675105829655,-2.1741595816192394,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -2,135,836/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,833,177 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,822,705,038 VND"
89514,41.100616016427104,71,3,6096.77,0.0,0.0,0.0,2097083333.3333333,-4375000.0,-2097077236.5633333,-0.009458354758801968,-1.5142478631235443,3,High Risk,"Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,097,077,237 VND"
540630,66.20123203285421,23,1,0.0,0.0,0.0,0.0,1200000000.0,0.0,-1200000000.0,-0.03189466048445033,-3.4373374034088267,3,High Risk,"Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,200,000,000 VND"
817562,57.451060917180016,313,3,10560218.98,-3958002.716,11080663.251886062,147793548.388,600000000.0,0.0,-441646232.63199997,-0.07696307844557548,-1.4814145636339384,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -3,958,003/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,080,663 VND)"
113287,35.37850787132101,229,3,5034212.613333333,-6929593.805,8001652.974128803,528043433.3333333,2828198499.999995,0.0,-2295120854.0533285,-0.09752371842290908,-1.8900535758449042,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -6,929,594/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 8,001,653 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -2,295,120,854 VND"
51059,40.32032854209446,288,3,9483168.851566672,-5166065.704940002,22422893.96990969,0.0,1140616740.6666667,-5277631.116666666,-1131133571.8151002,-0.06400202616243877,-2.499881972965372,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -5,166,066/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 22,422,894 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,131,133,572 VND"
883180,74.46132785763176,209,3,14148334.49857143,4691571.21,23154614.81789195,691973886.3285714,0.0,0.0,706122220.8271428,-0.07056453253057449,-1.5130935416667604,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 23,154,615 VND)"
514043,75.07460643394936,189,3,1229301.94,0.0,0.0,161290322.58,683333333.3333334,250000000.0,-520813708.8133334,-0.09069057917365364,-1.8662553172993803,3,High Risk,Số lượng khoản vay bất thường: 3 khoản vay đồng thời
362144,32.51745379876797,258,3,14680061.45934445,2552359.1516366694,21287125.35294055,856528243.7277778,662500000.0,38095238.0952381,208708305.18712234,-0.0764652256289694,-1.9533853459600834,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 21,287,125 VND)"
567496,34.35455167693361,83,2,5730328.353333334,6026314.565,6048081.575906653,666666666.6666666,0.0,0.0,672396995.02,-0.03224619684554131,-1.5752835180615243,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 6,048,082 VND)"
514042,25.56331279945243,61,3,3522664.515,-5989370.970000001,4235124.82792885,0.0,1177765000.0,-16470000.0,-1174242335.485,-0.04988019634410923,-1.7803293277805292,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -5,989,371/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 4,235,125 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,174,242,335 VND"
250722,21.456536618754278,170,3,5722146.723333334,1090231.3891428572,11320570.962026259,170161290.32166666,0.0,0.0,175883437.045,-0.03643113542808474,-1.8378852268019485,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,320,571 VND)"
798863,51.96167008898015,159,2,14434138.654016675,-5567046.466065718,26638759.886610534,682795698.9250001,0.0,0.0,697229837.5790168,-0.035954655261442925,-1.9185608121842628,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -5,567,046/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 26,638,760 VND)"
249556,24.10403832991102,279,3,2041936.168,284221.82812121214,1674781.9338917304,0.0,992621000.0,123929733.33333333,-990579063.832,-0.06276268634187987,-1.4815794907433988,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (123,929,733/tháng), dư nợ hiện tại: 992,621,000 VND | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -990,579,064 VND"
416420,41.82340862422998,265,4,1193336.7611111111,173127.31416666665,733677.0656616769,0.0,1677998777.3333333,-20256376.183333337,-1676805440.5722222,-0.10166910041341037,-1.7883139382733586,3,High Risk,"Số lượng khoản vay bất thường: 4 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,676,805,441 VND"
949585,41.100616016427104,161,2,11670136.509016676,6055311.307494289,27711097.900875617,592795698.9266666,0.0,0.0,604465835.4356833,-0.027104403074412864,-1.7778141861905656,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 27,711,098 VND)"
845830,79.54551676933607,126,2,8244891.795,-3105712.908,16062859.035874447,244529385.775,0.0,0.0,252774277.57,-0.026837510396308772,-1.888760150964258,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -3,105,713/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 16,062,859 VND)"
92828,42.521560574948666,107,2,18612090.3,12384470.888000002,16084368.814728856,0.0,1265039875.0,235991050.0,-1246427784.7,-0.06401615321465737,-1.9758061393382012,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (235,991,050/tháng), dư nợ hiện tại: 1,265,039,875 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 16,084,369 VND) | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,246,427,785 VND"
563945,51.0362765229295,173,2,17089643.420683343,4894840.171545717,28545282.639615074,84677419.355,0.0,0.0,101767062.77568334,-0.0015687856877436568,-1.5261227698096027,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 28,545,283 VND)"
296640,50.997946611909654,76,3,12496146.403333334,7304410.405,11456053.709939595,14516129.033333333,524480000.0,-5520000.0,-497467724.56333333,-0.08018125558671252,-2.133567378961856,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 11,456,054 VND)"
897781,38.913073237508556,138,2,7382476.506,-3687778.6530000004,16495283.05011812,239827956.988,0.0,0.0,247210433.49400002,-0.0036384328937902888,-1.6004030175445227,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -3,687,779/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 16,495,283 VND)"
25201,34.168377823408626,235,3,9850533.466300007,-7333725.261153576,25741325.597313788,186728110.59857145,1431962750.0,67543023.8095238,-1235384105.9351285,-0.11571019157876383,-1.4908637728736998,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -7,333,725/tháng) | Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (67,543,024/tháng), dư nợ hiện tại: 1,431,962,750 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 25,741,326 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,235,384,106 VND"
831474,44.199863107460644,50,3,8046349.175,15276698.35,10802256.997426342,0.0,551700000.0,-6600000.0,-543653650.825,-0.029170247983188013,-1.618428497375047,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 10,802,257 VND)"
